Year,CO2Emissions_MtCO2perYear_Global,CO2Emissions_MtCO2perYear_OECD,CO2Emissions_MtCO2perYear_NonOECD,ExogenousForcing_DICE2016_Wperm2
2020,44808.038,12091.491,32716.547,0.5294
2021,45611.97033,12219.75779,33392.213,0.53528
2022,46415.90244,12348.02467,34067.878,0.54116
2023,47219.83455,12476.29155,34743.543,0.54704
2024,48023.76666,12604.55843,35419.208,0.55292
2025,48827.69877,12732.8253,36094.873,0.5588
2026,49631.63088,12861.09218,36770.539,0.56468
2027,50435.56299,12989.35906,37446.204,0.57056
2028,51239.4951,13117.62594,38121.869,0.57644
2029,52043.42721,13245.89282,38797.534,0.58232
2030,52847.359,13374.16,39473.199,0.5882
2031,53412.42037,13481.45844,39930.962,0.59408
2032,53977.48142,13588.75718,40388.724,0.59996
2033,54542.54247,13696.05592,40846.487,0.60584
2034,55107.60352,13803.35466,41304.249,0.61172
2035,55672.66457,13910.6534,41762.011,0.6176
2036,56237.72562,14017.95214,42219.773,0.6235
2037,56802.78667,14125.25088,42677.536,0.6294
2038,57367.84773,14232.54962,43135.298,0.6353
2039,57932.90878,14339.84836,43593.06,0.6412
2040,58497.97,14447.147,44050.823,0.6471
2041,58938.57871,14541.24813,44397.331,0.65298
2042,59379.18759,14635.34915,44743.838,0.65886
2043,59819.79647,14729.45017,45090.346,0.66474
2044,60260.40535,14823.5512,45436.854,0.67062
2045,60701.01422,14917.65222,45783.362,0.6765
2046,61141.6231,15011.75324,46129.87,0.68238
2047,61582.23198,15105.85427,46476.378,0.68826
2048,62022.84086,15199.95529,46822.886,0.69414
2049,62463.44974,15294.05631,47169.393,0.70002
2050,62904.059,15388.157,47515.902,0.7059
2051,63270.48952,15473.02278,47797.467,0.71178
2052,63636.92042,15557.88822,48079.032,0.71766
2053,64003.35132,15642.75366,48360.598,0.72354
2054,64369.78222,15727.6191,48642.163,0.72942
2055,64736.21312,15812.48454,48923.729,0.7353
2056,65102.64402,15897.34998,49205.294,0.74118
2057,65469.07492,15982.21542,49486.86,0.74706
2058,65835.50582,16067.08086,49768.425,0.75294
2059,66201.93672,16151.9463,50049.99,0.75882
2060,66568.368,16236.812,50331.556,0.7647
2061,66915.72871,16331.82472,50583.904,0.77058
2062,67263.08981,16426.8377,50836.252,0.77646
2063,67610.4509,16521.85069,51088.6,0.78234
2064,67957.812,16616.86367,51340.948,0.78822
2065,68305.17309,16711.87665,51593.296,0.7941
2066,68652.53419,16806.88964,51845.645,0.79998
2067,68999.89528,16901.90262,52097.993,0.80586
2068,69347.25638,16996.9156,52350.341,0.81174
2069,69694.61747,17091.92858,52602.689,0.81762
2070,70041.979,17186.942,52855.037,0.8235
2071,70378.3033,17260.90546,53117.398,0.82938
2072,70714.62804,17334.86936,53379.759,0.83526
2073,71050.95277,17408.83326,53642.12,0.84114
2074,71387.27751,17482.79715,53904.48,0.84702
2075,71723.60224,17556.76105,54166.841,0.8529
2076,72059.92698,17630.72494,54429.202,0.8588
2077,72396.25172,17704.68884,54691.563,0.8647
2078,72732.57645,17778.65274,54953.924,0.8706
2079,73068.90119,17852.61663,55216.285,0.8765
2080,73405.226,17926.581,55478.645,0.8824
2081,73844.60827,17931.77655,55912.832,0.88828
2082,74283.99062,17936.97257,56347.018,0.89416
2083,74723.37297,17942.16859,56781.204,0.90004
2084,75162.75532,17947.36462,57215.391,0.90592
2085,75602.13767,17952.56064,57649.577,0.9118
2086,76041.52002,17957.75666,58083.763,0.91768
2087,76480.90237,17962.95268,58517.95,0.92356
2088,76920.28472,17968.1487,58952.136,0.92944
2089,77359.66707,17973.34473,59386.322,0.93532
2090,77799.049,17978.541,59820.508,0.9412
2091,78291.72779,17978.82947,60312.898,0.94708
2092,78784.40616,17979.1182,60805.288,0.95296
2093,79277.08453,17979.40692,61297.678,0.95884
2094,79769.7629,17979.69565,61790.067,0.96472
2095,80262.44127,17979.98437,62282.457,0.9706
2096,80755.11964,17980.2731,62774.847,0.97648
2097,81247.79801,17980.56183,63267.236,0.98236
2098,81740.47638,17980.85055,63759.626,0.98824
2099,82233.15475,17981.13928,64252.015,0.99412
2100,82725.833,17981.428,64744.405,1
