Country,Year,Month/Season,Major Threat,Minor Threat,Not a Threat,DK/Refused
USA,2020,Sping and Summer,61,25,13,1
USA,2018,Spring,59,23,16,2
USA,2017,Spring,56,26,16,2
USA,2016,Spring,53,30,15,3
USA,2013,Spring,40,37,20,3
USA,2012,Spring,45,32,19,3
CAN,2020,Summer,67,25,7,0
CAN,2018,Spring,66,25,9,0
CAN,2017,Spring,60,28,11,2
CAN,2016,Spring,61,26,9,3
CAN,2013,Spring,54,34,10,2
BEL,2020,Summer,70,24,6,0
DNK,2020,Summer,60,34,5,0
FRA,2020,Summer,83,13,3,1
FRA,2018,Spring,83,14,3,0
FRA,2017,Spring,72,20,7,0
FRA,2016,Spring,73,20,5,1
FRA,2013,Spring,54,33,13,0
DEU,2020,Summer,69,26,4,1
DEU,2018,Spring,71,23,4,2
DEU,2017,Spring,63,30,5,1
DEU,2016,Spring,65,28,6,1
DEU,2013,Spring,56,37,7,1
ITA,2020,Summer,83,15,2,0
ITA,2018,Spring,71,16,8,4
ITA,2017,Spring,65,25,6,5
ITA,2016,Spring,72,19,6,2
ITA,2013,Spring,64,27,5,4
NLD,2020,Summer,70,25,5,0
NLD,2018,Spring,70,22,6,1
NLD,2017,Spring,64,29,6,1
NLD,2016,Spring,56,34,9,1
ESP,2020,Summer,83,14,3,0
ESP,2018,Spring,81,13,5,0
ESP,2017,Spring,89,7,4,1
ESP,2016,Spring,89,7,3,1
ESP,2013,Spring,64,26,8,1
SWE,2020,Summer,63,31,5,0
SWE,2018,Spring,69,26,4,0
SWE,2017,Spring,64,32,3,1
SWE,2016,Spring,64,31,4,1
GBR,2020,Summer,71,24,4,0
GBR,2018,Spring,66,23,7,4
GBR,2017,Spring,59,30,7,4
GBR,2016,Spring,58,28,11,3
GBR,2013,Spring,48,35,13,4
AUS,2020,Summer,59,30,10,1
AUS,2018,Spring,60,29,9,1
AUS,2017,Spring,58,29,12,2
AUS,2016,Spring,60,28,9,2
AUS,2013,Spring,52,34,12,2
JPN,2020,Summer,80,15,3,2
JPN,2018,Spring,75,18,4,3
JPN,2017,Spring,67,26,4,3
JPN,2016,Spring,68,21,8,3
JPN,2013,Spring,72,21,5,2
KOR,2020,Summer,81,15,3,1
KOR,2018,Spring,86,9,3,1
KOR,2017,Spring,79,17,3,1
KOR,2016,Spring,85,9,4,2
