Country,Year,Price
GBR,2013,6.060480003
GBR,2016,4.87867152
GBR,2017,6.236738797
GBR,2018,16.36535412
GBR,2020,30.14353429
FRA,2013,6.060480003
FRA,2016,4.87867152
FRA,2017,6.236738797
FRA,2018,16.36535412
FRA,2020,30.14353429
DEU,2013,6.060480003
DEU,2016,4.87867152
DEU,2017,6.236738797
DEU,2018,16.36535412
DEU,2020,30.14353429
ESP,2013,6.060480003
ESP,2016,4.87867152
ESP,2017,6.236738797
ESP,2018,16.36535412
ESP,2020,30.14353429
ITA,2013,6.060480003
ITA,2016,4.87867152
ITA,2017,6.236738797
ITA,2018,16.36535412
ITA,2020,30.14353429
AUS,2013,24.657606
AUS,2016,0
AUS,2017,0
AUS,2018,0
AUS,2020,0
USA,2013,0.259518987
USA,2016,0.658627269
USA,2017,0.761442177
USA,2018,0.756979866
USA,2020,0.861885906
CAN,2013,3.68840366
CAN,2016,4.419441091
CAN,2017,5.925627352
CAN,2018,5.976709363
CAN,2020,6.169809068
JPN,2013,2.479370919
JPN,2016,2.999723047
JPN,2017,2.785971535
JPN,2018,2.809223182
JPN,2020,2.829074081
